Model,Fold,Epoch,Loss,Accuracy,Val_Loss,Val_Accuracy
MobileNetV2Model,2,16,1.3402817785390653e-05,1.0,0.5726034045219421,0.9623287916183472
MobileNetV2Model,2,17,1.280723972740816e-05,1.0,0.5734086036682129,0.9623287916183472
MobileNetV2Model,2,18,1.220691865455592e-05,1.0,0.573393702507019,0.9623287916183472
MobileNetV2Model,2,19,1.1890648238477295e-05,1.0,0.5739495754241943,0.9623287916183472
MobileNetV2Model,3,0,4.698749542236328,0.8044596910476685,0.3991388976573944,0.931506872177124
MobileNetV2Model,3,1,0.3645557463169098,0.9502573013305664,1.1622297763824463,0.8698630332946777
MobileNetV2Model,3,2,1.3297011852264404,0.9090909361839294,0.5897581577301025,0.9280821681022644
MobileNetV2Model,3,3,0.1473785638809204,0.9785591959953308,0.7451035976409912,0.9383561611175536
MobileNetV2Model,3,4,0.0670582875609397,0.9871355295181274,0.6549599170684814,0.948630154132843
MobileNetV2Model,3,5,0.0544714778661727,0.9931389093399048,0.5909667611122131,0.9383561611175536
MobileNetV2Model,3,6,0.0165928713977336,0.9982847571372986,0.4715960919857025,0.931506872177124
MobileNetV2Model,3,7,0.0150181734934449,0.995711863040924,0.4464716911315918,0.9554794430732728
MobileNetV2Model,3,8,0.0101966569200158,0.9991423487663268,0.448119580745697,0.9452054500579834
